Country,ISO3,Date,Price,Bioenergy,Coal,Demand,Gas,Hydro,Net Imports,Nuclear,Renewables,Solar,Total Generation,Wind
Belgium,BEL,2022-01-01,191.56225806451613,0.8066666666666666,0.0,7.99,9.31,0.0,-0.7,18.51666666666667,5.603333333333333,0.4166666666666667,8.69,4.38
Belgium,BEL,2022-02-01,162.63785714285714,0.4833333333333334,0.0,7.03,5.699999999999999,0.0,-0.48,17.52,9.656666666666666,1.0533333333333335,7.51,8.12
Belgium,BEL,2022-03-01,265.5132258064516,0.8866666666666667,0.0,7.23,7.776666666666666,0.09666666666666668,-0.16,17.639999999999997,7.196666666666666,2.723333333333333,7.39,3.49
Belgium,BEL,2022-04-01,186.718,0.85,0.0,6.83,5.609999999999999,0.09666666666666668,-0.45,17.936666666666667,9.26,3.4966666666666666,7.28,4.816666666666667
Belgium,BEL,2022-05-01,176.66580645161292,0.5066666666666667,0.0,6.87,6.640000000000001,0.05000000000000001,-0.26,17.986666666666668,8.486666666666666,4.47,7.13,3.4599999999999995
Belgium,BEL,2022-06-01,219.29333333333335,1.08,0.0,6.72,7.75,0.05333333333333334,0.03,16.006666666666668,8.963333333333333,4.636666666666667,6.69,3.1933333333333334
Belgium,BEL,2022-07-01,321.5470967741935,1.1099999999999999,0.0,6.51,9.986666666666666,0.0,-0.34,14.456666666666665,8.563333333333334,4.903333333333333,6.85,2.5500000000000003
Belgium,BEL,2022-08-01,448.1225806451613,0.9033333333333333,0.0,6.65,10.63,0.0,-1.0,15.626666666666667,7.3933333333333335,4.046666666666667,7.65,2.4433333333333334
Belgium,BEL,2022-09-01,345.72633333333334,0.84,0.0,6.46,9.266666666666667,0.0,-0.89,17.24,6.94,2.64,7.35,3.4600000000000004
Belgium,BEL,2022-10-01,157.50774193548386,0.6833333333333332,0.0,6.58,9.819999999999999,0.0,-0.85,15.476666666666667,8.116666666666665,2.08,7.43,5.353333333333333
Belgium,BEL,2022-11-01,180.69466666666668,0.7966666666666667,0.0,6.58,6.593333333333334,0.05000000000000001,-0.73,17.083333333333332,9.08,0.9833333333333334,7.31,7.25
Belgium,BEL,2022-12-01,268.8764516129032,0.66,0.0,7.28,10.086666666666668,0.04666666666666667,-0.46,15.736666666666665,6.883333333333334,0.4633333333333334,7.74,5.713333333333334
Belgium,BEL,2023-01-01,130.8658064516129,0.7566666666666667,0.0,7.51,7.909999999999999,0.13,-0.73,15.99,9.216666666666667,0.5733333333333334,8.24,7.756666666666667
Belgium,BEL,2023-02-01,143.51392857142858,0.9466666666666668,0.0,6.77,10.263333333333334,0.10333333333333333,-0.11,13.726666666666667,8.256666666666666,1.6633333333333333,6.88,5.543333333333333
Belgium,BEL,2023-03-01,109.4767741935484,0.35000000000000003,0.0,7.24,8.506666666666666,0.14666666666666664,-0.07,13.409999999999998,10.346666666666666,2.3066666666666666,7.31,7.543333333333333
Belgium,BEL,2023-04-01,105.62366666666667,0.29333333333333333,0.0,6.61,7.493333333333333,0.17333333333333334,0.52,13.706666666666665,10.586666666666666,4.483333333333333,6.09,5.636666666666667
Belgium,BEL,2023-05-01,80.11225806451613,0.25,0.0,6.43,6.456666666666667,0.12333333333333334,0.68,13.306666666666667,11.736666666666665,6.3933333333333335,5.75,4.97
Belgium,BEL,2023-06-01,93.16833333333334,0.23333333333333336,0.0,6.29,8.63,0.0,0.16,13.103333333333333,10.993333333333332,6.773333333333333,6.13,3.9866666666666664
Belgium,BEL,2023-07-01,75.28806451612903,0.3233333333333333,0.0,6.09,6.3,0.0,-0.57,14.843333333333334,11.5,4.87,6.66,6.306666666666666
Belgium,BEL,2023-08-01,92.05354838709677,0.2966666666666667,0.0,6.18,7.656666666666667,0.060000000000000005,0.18,14.666666666666666,9.856666666666667,5.0200000000000005,6.0,4.4799999999999995
Belgium,BEL,2023-09-01,94.35166666666667,0.7999999999999999,0.0,6.4,7.456666666666666,0.0,1.06,13.35,10.416666666666666,5.206666666666666,5.34,4.41
Belgium,BEL,2023-10-01,86.3358064516129,0.3666666666666667,0.0,6.65,4.89,0.060000000000000005,0.82,14.526666666666666,11.636666666666665,2.67,5.83,8.540000000000001
Belgium,BEL,2023-11-01,91.52866666666667,0.28,0.0,7.0,4.75,0.16666666666666666,0.57,15.673333333333334,11.160000000000002,1.1066666666666667,6.43,9.606666666666667
Belgium,BEL,2023-12-01,69.25774193548388,0.26333333333333336,0.0,7.23,5.326666666666667,0.15666666666666665,0.36,15.093333333333334,11.219999999999999,0.5733333333333334,6.87,10.226666666666667
Belgium,BEL,2024-01-01,78.62709677419355,0.25333333333333335,0.0,7.74,7.56,0.15,0.6,14.713333333333333,9.766666666666666,1.1533333333333335,7.14,8.209999999999999
Belgium,BEL,2024-02-01,61.53241379310345,0.19333333333333336,0.0,6.37,4.256666666666667,0.0,0.79,17.16,11.43,1.5166666666666666,5.58,9.72
Belgium,BEL,2024-03-01,61.13161290322581,0.4066666666666667,0.0,6.54,5.82,0.0,1.31,15.026666666666666,11.350000000000001,4.033333333333334,5.23,6.91
Belgium,BEL,2024-04-01,48.037666666666674,0.36333333333333334,0.0,6.72,4.6466666666666665,0.18000000000000002,0.81,12.546666666666667,14.123333333333333,5.03,5.91,8.549999999999999
Belgium,BEL,2024-05-01,54.44709677419355,0.37333333333333335,0.0,6.61,4.52,0.18333333333333335,0.87,15.783333333333333,10.646666666666667,6.096666666666667,5.74,3.9933333333333336
Belgium,BEL,2024-06-01,60.922000000000004,0.2966666666666667,0.0,6.41,4.763333333333333,0.11666666666666668,0.41,15.196666666666667,11.626666666666665,7.086666666666667,6.0,4.126666666666666
Belgium,BEL,2024-07-01,54.58548387096774,0.3433333333333333,0.0,6.38,4.303333333333334,0.11333333333333334,0.14,16.290000000000003,11.603333333333332,6.943333333333334,6.24,4.203333333333333
Belgium,BEL,2024-08-01,65.52709677419355,0.3466666666666667,0.0,6.56,4.21,0.05666666666666667,0.36,15.646666666666667,12.416666666666666,7.156666666666666,6.2,4.8566666666666665
Belgium,BEL,2024-09-01,66.40400000000001,0.48000000000000004,0.0,6.56,4.886666666666667,0.06666666666666667,1.36,13.826666666666668,12.5,5.543333333333333,5.2,6.41
Belgium,BEL,2024-10-01,78.12774193548387,0.41,0.0,6.97,5.676666666666667,0.20333333333333334,1.8,14.583333333333334,10.389999999999999,3.9433333333333334,5.17,5.833333333333333
Belgium,BEL,2024-11-01,108.94966666666666,0.43333333333333335,0.0,7.14,10.343333333333334,0.12333333333333334,1.35,12.733333333333334,8.116666666666667,1.2833333333333334,5.79,6.276666666666666
Belgium,BEL,2024-12-01,105.10193548387096,0.3333333333333333,0.0,7.33,7.043333333333334,0.16333333333333333,0.87,14.89,9.953333333333335,0.7166666666666667,6.46,8.74
France,FRA,2022-01-01,211.84516129032258,0.2866666666666667,1.0933333333333335,51.68,5.853333333333333,5.166666666666667,1.17,34.943333333333335,9.123333333333333,0.6966666666666667,50.51,2.973333333333333
France,FRA,2022-02-01,185.6475,0.38666666666666666,0.8033333333333333,42.06,4.633333333333334,4.176666666666667,-1.76,32.303333333333335,10.746666666666668,0.9666666666666667,43.82,5.216666666666667
France,FRA,2022-03-01,295.17483870967743,0.32,0.66,41.76,5.73,4.473333333333334,1.28,31.036666666666665,9.950000000000001,1.42,40.48,3.736666666666667
France,FRA,2022-04-01,232.91933333333333,0.4533333333333333,0.11333333333333334,35.88,4.503333333333334,5.786666666666666,1.32,28.186666666666667,12.4,2.0466666666666664,34.56,4.113333333333333
France,FRA,2022-05-01,197.46,0.6166666666666667,0.049999999999999996,32.28,4.1033333333333335,6.06,-0.39,27.733333333333334,12.613333333333335,3.11,32.67,2.8266666666666667
France,FRA,2022-06-01,248.73333333333332,0.4033333333333333,0.05333333333333334,31.74,3.6300000000000003,5.1433333333333335,1.18,28.656666666666666,11.283333333333333,3.0966666666666662,30.56,2.64
France,FRA,2022-07-01,400.95032258064515,0.3666666666666667,0.036666666666666674,33.35,4.736666666666667,4.569999999999999,3.53,27.2,11.44,3.7533333333333334,29.82,2.75
France,FRA,2022-08-01,493.0796774193548,0.36666666666666664,0.036666666666666674,31.4,4.7,3.5233333333333334,3.4,27.566666666666666,10.58,3.48,28.0,3.2100000000000004
France,FRA,2022-09-01,393.388,0.64,0.036666666666666674,31.35,5.0633333333333335,3.2266666666666666,3.45,27.75,10.03,2.6533333333333333,27.9,3.5100000000000002
France,FRA,2022-10-01,178.8858064516129,0.33666666666666667,0.07,31.73,5.483333333333333,3.6333333333333333,0.32,28.10666666666667,10.516666666666667,1.7766666666666666,31.41,4.77
France,FRA,2022-11-01,192.15566666666666,0.32666666666666666,0.4066666666666667,36.34,5.9433333333333325,4.19,1.17,27.633333333333336,11.61,1.0633333333333332,35.17,6.03
France,FRA,2022-12-01,270.4935483870967,0.3666666666666667,1.0866666666666667,45.27,5.746666666666666,4.88,2.11,30.78333333333333,10.893333333333333,0.6733333333333333,43.16,4.973333333333334
France,FRA,2023-01-01,132.33,0.31,0.3333333333333333,46.01,4.83,5.766666666666667,-1.24,31.893333333333334,12.58,0.7566666666666667,47.25,5.746666666666666
France,FRA,2023-02-01,148.77642857142857,0.2933333333333333,0.3866666666666667,40.81,6.11,3.4033333333333338,-0.63,32.66666666666667,8.623333333333333,1.4766666666666666,41.44,3.4499999999999997
France,FRA,2023-03-01,111.82322580645162,0.35666666666666663,0.18000000000000002,39.37,4.486666666666666,4.776666666666666,-1.25,29.526666666666667,13.06,1.8833333333333335,40.62,6.043333333333333
France,FRA,2023-04-01,106.473,0.3833333333333333,0.03,33.94,2.3866666666666667,5.073333333333333,-2.78,30.923333333333336,12.426666666666668,2.6266666666666665,36.72,4.343333333333333
France,FRA,2023-05-01,77.47806451612904,0.37666666666666665,0.04666666666666667,30.48,1.4966666666666668,5.786666666666666,-7.07,30.653333333333336,13.75,2.9533333333333336,37.55,4.633333333333334
France,FRA,2023-06-01,91.28,0.31333333333333335,0.016666666666666666,29.91,2.4166666666666665,6.573333333333333,-4.8,29.353333333333335,13.28,3.5233333333333334,34.71,2.8699999999999997
France,FRA,2023-07-01,77.61677419354838,0.33666666666666667,0.016666666666666666,31.3,2.49,4.506666666666667,-4.32,30.37333333333333,12.476666666666667,3.483333333333334,35.62,4.1499999999999995
France,FRA,2023-08-01,90.96451612903226,0.37333333333333335,0.08333333333333333,30.02,2.32,4.1066666666666665,-4.35,31.05666666666667,11.49,3.3366666666666664,34.37,3.6733333333333333
France,FRA,2023-09-01,88.70766666666667,0.37333333333333335,0.03333333333333333,30.32,1.78,3.4533333333333336,-5.63,33.89333333333333,9.76,2.8866666666666667,35.95,3.046666666666667
France,FRA,2023-10-01,84.19483870967741,0.3433333333333333,0.016666666666666666,32.18,1.6466666666666667,3.6833333333333336,-6.45,33.63666666666666,11.033333333333333,1.9166666666666667,38.63,5.090000000000001
France,FRA,2023-11-01,89.018,0.32,0.08666666666666667,37.9,3.276666666666667,6.283333333333334,-5.25,30.423333333333332,14.293333333333331,1.0433333333333334,43.15,6.646666666666667
France,FRA,2023-12-01,68.3309677419355,0.33,0.06666666666666667,42.71,3.4166666666666665,6.390000000000001,-5.55,32.21666666666666,14.153333333333334,0.7799999999999999,48.26,6.653333333333333
France,FRA,2024-01-01,76.6632258064516,0.26,0.15666666666666665,46.91,3.953333333333333,6.466666666666666,-5.79,34.63666666666667,12.693333333333333,0.8933333333333334,52.7,5.073333333333333
France,FRA,2024-02-01,58.38551724137931,0.27666666666666667,0.14,38.71,2.873333333333333,5.746666666666667,-6.92,32.660000000000004,13.116666666666667,1.1666666666666667,45.63,5.926666666666667
France,FRA,2024-03-01,53.5358064516129,0.29666666666666663,0.013333333333333334,38.53,2.8333333333333335,6.883333333333333,-6.86,31.900000000000002,13.92,2.0466666666666664,45.39,4.693333333333333
France,FRA,2024-04-01,28.23,0.32666666666666666,0.0,34.08,0.7999999999999999,6.066666666666666,-5.31,31.41,14.233333333333334,2.7266666666666666,39.39,5.113333333333334
France,FRA,2024-05-01,27.061290322580643,0.3466666666666667,0.0,30.86,0.48666666666666664,7.6066666666666665,-9.27,32.276666666666664,13.903333333333334,2.8800000000000003,40.13,3.07
France,FRA,2024-06-01,37.776666666666664,0.3233333333333333,0.0,29.64,0.5466666666666667,6.95,-8.34,31.843333333333334,13.54,3.313333333333334,37.98,2.9533333333333336
France,FRA,2024-07-01,46.575161290322576,0.3233333333333333,0.0,31.61,0.7666666666666666,6.073333333333333,-8.39,33.23,12.606666666666667,3.6200000000000006,40.0,2.5900000000000003
France,FRA,2024-08-01,54.56258064516129,0.3433333333333333,0.0,30.6,0.8366666666666668,4.456666666666667,-8.03,34.059999999999995,11.269999999999998,3.7566666666666664,38.63,2.713333333333333
France,FRA,2024-09-01,51.61133333333333,0.3333333333333333,0.12333333333333334,30.36,0.9133333333333334,4.1,-7.73,33.026666666666664,11.953333333333333,2.5966666666666667,38.09,4.923333333333333
France,FRA,2024-10-01,62.25096774193548,0.3033333333333333,0.043333333333333335,33.47,0.8266666666666667,6.243333333333333,-7.99,33.906666666666666,12.283333333333333,1.88,41.46,3.856666666666667
France,FRA,2024-11-01,100.551,0.29666666666666663,0.21,38.44,3.1833333333333336,4.616666666666666,-7.39,34.919999999999995,10.573333333333334,1.2833333333333334,45.83,4.376666666666667
France,FRA,2024-12-01,98.12322580645161,0.2733333333333334,0.14333333333333334,44.91,2.8466666666666662,5.543333333333334,-6.62,35.82,11.96,0.9166666666666666,51.53,5.226666666666667
Germany,DEU,2022-01-01,167.80935483870968,4.15,20.626666666666665,48.42,9.973333333333334,1.5233333333333334,-4.02,2.813333333333333,22.743333333333336,1.27,52.44,15.26
Germany,DEU,2022-02-01,129.85785714285714,3.82,15.146666666666667,44.99,7.66,1.5433333333333332,-5.98,2.66,28.45,2.68,50.97,19.956666666666667
Germany,DEU,2022-03-01,252.07290322580647,4.18,22.7,46.37,9.563333333333334,1.3633333333333333,-2.97,2.9933333333333336,19.993333333333332,5.986666666666667,49.34,7.953333333333333
Germany,DEU,2022-04-01,168.77833333333334,4.17,17.793333333333333,43.44,7.293333333333333,1.6533333333333333,-3.03,3.0066666666666664,24.636666666666667,6.656666666666666,46.47,11.729999999999999
Germany,DEU,2022-05-01,177.0409677419355,4.423333333333333,17.013333333333332,42.59,7.283333333333332,1.91,-0.36,2.5,24.27,9.023333333333333,42.95,8.553333333333333
Germany,DEU,2022-06-01,218.16966666666667,4.166666666666667,18.55333333333333,40.87,7.13,1.9133333333333333,-0.17,2.4766666666666666,22.486666666666665,9.78,41.04,6.29
Germany,DEU,2022-07-01,317.03064516129035,4.1,18.816666666666666,42.04,6.423333333333333,1.4466666666666665,-1.18,3.23,23.076666666666664,9.323333333333332,43.22,7.873333333333334
Germany,DEU,2022-08-01,463.5945161290323,4.206666666666666,21.24,41.2,6.96,1.3199999999999998,-0.21,3.353333333333333,19.893333333333334,8.81,41.41,5.223333333333334
Germany,DEU,2022-09-01,352.8146666666667,4.12,21.536666666666665,40.06,6.303333333333334,1.5,-1.9,3.263333333333333,20.52,5.663333333333334,41.96,8.896666666666667
Germany,DEU,2022-10-01,155.3051612903226,4.426666666666667,18.146666666666665,41.46,7.213333333333334,1.7999999999999998,-1.1,2.973333333333333,22.903333333333336,4.256666666666667,42.56,12.06
Germany,DEU,2022-11-01,173.19500000000002,4.243333333333333,20.99,42.55,7.506666666666667,1.42,-2.85,3.0233333333333334,21.606666666666666,2.0366666666666666,45.4,13.473333333333334
Germany,DEU,2022-12-01,250.70774193548385,4.403333333333333,22.12,42.78,9.67,1.49,-3.76,2.846666666666667,19.546666666666667,0.8433333333333333,46.54,12.32
Germany,DEU,2023-01-01,117.22258064516129,4.08,19.650000000000002,44.76,8.443333333333333,1.5733333333333333,-3.78,1.7666666666666666,24.286666666666665,1.2133333333333334,48.54,16.98333333333333
Germany,DEU,2023-02-01,127.80714285714285,3.973333333333333,20.613333333333333,41.7,8.996666666666666,1.3366666666666667,-3.06,2.0733333333333333,21.3,2.9966666666666666,44.76,12.533333333333333
Germany,DEU,2023-03-01,101.23129032258065,4.08,16.80666666666667,44.19,8.113333333333333,1.7266666666666666,-2.27,2.316666666666667,25.333333333333332,4.49,46.46,14.526666666666666
Germany,DEU,2023-04-01,102.143,4.406666666666667,15.276666666666666,39.9,7.443333333333334,2.17,0.14,1.1366666666666667,25.596666666666668,7.196666666666666,39.76,11.336666666666666
Germany,DEU,2023-05-01,82.02903225806452,4.7,11.326666666666668,39.29,6.826666666666667,2.7133333333333334,3.12,0.0,28.76,11.056666666666667,36.17,9.846666666666668
Germany,DEU,2023-06-01,93.90433333333334,4.51,12.32,37.99,7.126666666666666,1.8833333333333335,3.88,0.0,26.98,12.71,34.11,7.52
Germany,DEU,2023-07-01,78.11870967741935,4.5,10.21,38.72,6.603333333333333,1.7000000000000002,3.14,0.0,29.586666666666662,10.816666666666668,35.58,12.21
Germany,DEU,2023-08-01,94.35354838709678,4.6866666666666665,12.963333333333333,39.08,7.363333333333333,2.3066666666666666,5.51,0.0,25.92,9.72,33.57,8.833333333333334
Germany,DEU,2023-09-01,100.80666666666666,4.536666666666666,14.983333333333334,38.11,6.696666666666666,1.8966666666666667,4.28,0.0,25.083333333333332,9.783333333333333,33.83,8.426666666666666
Germany,DEU,2023-10-01,87.09612903225806,4.42,15.343333333333334,40.7,7.266666666666667,1.2066666666666668,1.12,0.0,26.650000000000002,4.54,39.58,16.033333333333335
Germany,DEU,2023-11-01,90.89733333333334,4.19,16.646666666666665,42.5,8.1,2.0566666666666666,-0.38,0.0,26.38,1.9799999999999998,42.88,17.669999999999998
Germany,DEU,2023-12-01,69.0783870967742,4.293333333333334,15.92,41.99,8.366666666666667,2.3233333333333337,-2.82,0.0,27.709999999999997,1.18,44.81,19.509999999999998
Germany,DEU,2024-01-01,76.23096774193547,4.096666666666667,14.333333333333334,45.87,10.343333333333334,2.2033333333333336,-1.58,0.0,27.983333333333334,2.1466666666666665,47.45,18.99
Germany,DEU,2024-02-01,61.23241379310345,4.14,12.340000000000002,41.97,8.603333333333333,2.14,-0.21,0.0,28.900000000000002,3.316666666666667,42.18,18.823333333333334
Germany,DEU,2024-03-01,63.18451612903226,4.403333333333333,13.0,42.16,9.053333333333333,2.1933333333333334,1.7,0.0,27.196666666666662,6.5,40.46,13.703333333333333
Germany,DEU,2024-04-01,61.95933333333333,4.433333333333334,9.183333333333334,40.3,8.096666666666666,2.2566666666666664,2.39,0.0,30.083333333333332,8.956666666666667,37.91,14.056666666666667
Germany,DEU,2024-05-01,67.5283870967742,4.703333333333333,9.303333333333333,38.82,7.166666666666667,2.733333333333333,3.42,0.0,29.819999999999997,12.159999999999998,35.4,9.773333333333332
Germany,DEU,2024-06-01,72.87766666666667,4.363333333333333,10.63,38.35,6.603333333333334,2.5733333333333337,3.58,0.0,29.163333333333338,12.583333333333334,34.77,9.253333333333334
Germany,DEU,2024-07-01,68.4041935483871,4.3966666666666665,10.4,39.66,6.386666666666667,2.5799999999999996,4.3,0.0,29.563333333333333,13.046666666666667,35.36,9.09
Germany,DEU,2024-08-01,81.76387096774194,4.46,11.543333333333331,38.93,6.543333333333333,2.203333333333333,4.27,0.0,28.36,12.743333333333332,34.66,8.496666666666668
Germany,DEU,2024-09-01,78.55300000000001,4.263333333333334,11.613333333333332,39.06,6.583333333333333,2.1599999999999997,2.59,0.0,29.11,8.956666666666667,36.47,13.326666666666666
Germany,DEU,2024-10-01,83.98225806451612,4.510000000000001,15.37,41.18,7.826666666666667,2.3866666666666667,3.39,0.0,25.423333333333332,5.256666666666667,37.79,12.83
Germany,DEU,2024-11-01,111.61466666666666,4.253333333333334,16.703333333333333,42.41,11.213333333333333,1.5733333333333333,1.19,0.0,23.00666666666667,2.5833333333333335,41.22,14.17
Germany,DEU,2024-12-01,105.64612903225807,4.363333333333333,13.946666666666667,42.85,10.443333333333333,1.92,-0.16,0.0,26.49,1.9666666666666668,43.01,17.79
Greece,GRC,2022-01-01,227.35193548387096,0.0,4.756666666666667,4.53,14.910000000000002,5.366666666666667,0.59,0.0,15.483333333333333,2.64,3.94,7.476666666666667
Greece,GRC,2022-02-01,211.72892857142855,0.0,4.666666666666667,3.95,16.776666666666667,1.89,0.67,0.0,13.446666666666667,3.47,3.28,8.086666666666668
Greece,GRC,2022-03-01,272.31967741935483,0.0,5.526666666666666,4.41,17.2,2.3366666666666664,-0.07,0.0,12.763333333333334,3.426666666666667,4.48,7.0
Greece,GRC,2022-04-01,246.91033333333334,0.0,2.486666666666667,3.32,12.28,2.556666666666667,0.78,0.0,19.656666666666666,7.003333333333333,2.54,10.096666666666668
Greece,GRC,2022-05-01,225.07354838709676,0.0,2.8200000000000003,3.53,15.363333333333335,2.98,0.65,0.0,16.446666666666665,7.153333333333332,2.88,6.313333333333333
Greece,GRC,2022-06-01,240.82933333333332,0.0,4.54,3.93,16.080000000000002,2.733333333333333,0.13,0.0,14.49,5.29,3.8,6.466666666666666
Greece,GRC,2022-07-01,338.31580645161296,0.0,5.366666666666667,4.64,16.580000000000002,2.52,-0.51,0.0,13.829999999999998,4.706666666666667,5.15,6.603333333333333
Greece,GRC,2022-08-01,436.7622580645161,0.0,6.326666666666667,4.32,17.12333333333333,2.7633333333333336,-0.36,0.0,12.17,4.333333333333333,4.68,5.073333333333333
Greece,GRC,2022-09-01,416.4066666666667,0.0,4.5200000000000005,3.58,14.816666666666668,2.52,0.44,0.0,15.453333333333333,6.033333333333332,3.14,6.8999999999999995
Greece,GRC,2022-10-01,232.15483870967742,0.0,3.6266666666666665,3.29,10.736666666666666,1.9433333333333334,0.47,0.0,20.186666666666664,6.206666666666667,2.82,12.036666666666667
Greece,GRC,2022-11-01,227.844,0.0,3.8800000000000003,3.36,14.96,1.9400000000000002,0.35,0.0,15.863333333333332,3.426666666666667,3.01,10.496666666666666
Greece,GRC,2022-12-01,276.9664516129032,0.0,5.319999999999999,3.61,17.383333333333333,2.5733333333333333,0.26,0.0,12.246666666666668,2.5733333333333333,3.35,7.1000000000000005
Greece,GRC,2023-01-01,191.6574193548387,0.0,5.2,3.89,11.853333333333333,3.733333333333334,1.04,0.0,17.576666666666664,4.456666666666667,2.85,9.386666666666667
Greece,GRC,2023-02-01,156.2510714285714,0.0,6.903333333333333,3.78,10.973333333333334,2.6999999999999997,0.59,0.0,16.94333333333333,5.396666666666667,3.19,8.846666666666666
Greece,GRC,2023-03-01,122.75032258064515,0.0,4.903333333333333,3.69,11.803333333333333,1.656666666666667,0.58,0.0,18.026666666666667,6.973333333333334,3.11,9.396666666666667
Greece,GRC,2023-04-01,120.44066666666666,0.0,3.453333333333333,3.27,14.37,1.68,0.41,0.0,16.8,7.803333333333334,2.86,7.316666666666666
Greece,GRC,2023-05-01,105.45516129032258,0.0,2.56,3.36,12.013333333333334,1.866666666666667,0.61,0.0,19.94,8.48,2.75,9.593333333333334
Greece,GRC,2023-06-01,91.59833333333333,0.0,2.3800000000000003,3.63,15.766666666666666,3.036666666666667,0.34,0.0,16.656666666666666,9.013333333333334,3.29,4.6066666666666665
Greece,GRC,2023-07-01,112.63322580645162,0.0,4.656666666666667,5.4,15.123333333333333,2.7466666666666666,0.69,0.0,15.736666666666666,8.69,4.71,4.3
Greece,GRC,2023-08-01,109.33548387096775,0.0,3.0199999999999996,4.85,13.236666666666666,2.813333333333334,0.26,0.0,19.086666666666666,8.6,4.59,7.673333333333333
Greece,GRC,2023-09-01,101.93033333333332,0.0,1.7533333333333332,3.76,14.24,2.7566666666666664,-0.14,0.0,19.023333333333333,7.826666666666667,3.9,8.44
Greece,GRC,2023-10-01,111.15741935483871,0.0,3.5700000000000003,3.52,13.56,3.64,-0.09,0.0,17.813333333333336,7.569999999999999,3.61,6.603333333333333
Greece,GRC,2023-11-01,105.45966666666666,0.0,4.306666666666667,3.42,11.396666666666668,2.53,0.29,0.0,19.013333333333335,5.496666666666667,3.13,10.986666666666666
Greece,GRC,2023-12-01,102.20096774193549,0.0,4.883333333333334,3.92,12.36,4.236666666666666,0.33,0.0,17.713333333333335,4.526666666666666,3.59,8.950000000000001
Greece,GRC,2024-01-01,92.99483870967742,0.0,3.4933333333333336,4.18,12.75,2.5833333333333335,0.15,0.0,18.863333333333333,4.57,4.03,11.71
Greece,GRC,2024-02-01,73.57000000000001,0.0,3.953333333333333,3.7,12.64,2.2800000000000002,0.37,0.0,18.223333333333333,6.216666666666666,3.33,9.726666666666667
Greece,GRC,2024-03-01,67.41838709677418,0.0,2.983333333333333,3.56,14.786666666666667,1.9866666666666666,0.09,0.0,17.110000000000003,8.063333333333334,3.47,7.06
Greece,GRC,2024-04-01,60.09666666666667,0.0,2.143333333333333,3.25,12.356666666666667,1.7733333333333332,-0.25,0.0,20.323333333333334,9.38,3.5,9.17
Greece,GRC,2024-05-01,81.21129032258065,0.0,0.5033333333333333,3.42,16.650000000000002,1.9433333333333334,-0.13,0.0,17.713333333333335,9.35,3.55,6.420000000000001
Greece,GRC,2024-06-01,98.91433333333333,0.0,1.5166666666666666,4.74,15.866666666666667,2.3666666666666667,0.17,0.0,17.946666666666665,9.4,4.57,6.18
Greece,GRC,2024-07-01,135.22903225806454,0.0,2.5966666666666667,5.63,15.589999999999998,2.2733333333333334,0.05,0.0,17.62666666666667,8.663333333333334,5.58,6.69
Greece,GRC,2024-08-01,129.81129032258065,0.0,2.17,5.05,16.04,2.356666666666667,0.15,0.0,17.296666666666667,9.583333333333334,4.9,5.3566666666666665
Greece,GRC,2024-09-01,112.345,0.0,1.5566666666666666,4.0,16.246666666666666,1.6866666666666665,0.31,0.0,17.16,10.413333333333332,3.69,5.0600000000000005
Greece,GRC,2024-10-01,90.05387096774194,0.0,0.6766666666666666,3.7,13.69,0.9333333333333335,-0.01,0.0,20.52,9.986666666666666,3.71,9.6
Greece,GRC,2024-11-01,136.547,0.0,3.35,3.79,17.226666666666667,0.7833333333333333,-0.66,0.0,14.799999999999999,5.6433333333333335,4.45,8.373333333333333
Greece,GRC,2024-12-01,129.83129032258066,0.0,3.59,4.06,17.273333333333333,1.3266666666666667,-0.4,0.0,14.533333333333333,4.616666666666666,4.46,8.59
Italy,ITA,2022-01-01,224.49064516129033,2.5,2.7433333333333336,26.55,26.38,4.083333333333333,2.55,0.0,13.993333333333332,2.243333333333333,24.0,4.333333333333333
