Stock_1,Stock_2,Correlation,Test_Statistic,P_Value,Cointegrated
MA,V,0.8950427811649203,-4.716584739900707,0.0005278829548884359,True
KO,MSFT,0.3594423336979772,-3.9870840963934953,0.007491700478186517,True
GOOGL,MS,0.45354548542022394,-3.825330527393103,0.012537504191905918,True
AAPL,MSFT,0.6631910352157284,-3.738540354575458,0.01633641974277559,True
AMD,MSFT,0.4273611582731365,-3.7301317188686665,0.016753425754055713,True
AAPL,KO,0.34154701090382933,-3.654056648692723,0.020970329792332758,True
AAPL,AMD,0.42210307621796844,-3.640719681173472,0.02179777717606736,True
AMD,GOOGL,0.39268146668231113,-3.6338809794440636,0.022232940396327765,True
KO,MA,0.48256625760622734,-3.5672884408819403,0.026878621266035744,True
KO,V,0.473252115007969,-3.4865384901733036,0.033607524969204286,True
AMD,V,0.3542879426755375,-3.4621352479123657,0.03590289749939651,True
AMD,MA,0.3699931916706758,-3.382901563579041,0.04428539207426883,True
GOOGL,GS,0.4512481725886422,-3.2528777305746464,0.06152099388604545,False
MA,MSFT,0.6236280265064627,-3.2259292587968846,0.06569755474365052,False
AMD,KO,0.14402291844561937,-3.2129464638363845,0.06778928099544168,False
CVX,KO,0.38528368825731957,-3.196073266139857,0.07058693929928893,False
KO,MCD,0.5182279238728709,-3.1889291102300277,0.07179881485975112,False
AMD,MS,0.3437805640869154,-3.1219294753670512,0.08398267656447378,False
BAC,GOOGL,0.3973275024202279,-3.1108146189933974,0.08615130332807092,False
AAPL,MCD,0.38368633654372936,-3.074837106592959,0.09346939059743337,False
MCD,MSFT,0.4107385613135971,-3.074115164614545,0.09362097490462906,False
CVX,MCD,0.3976086631141019,-3.0618409193792,0.09622709136573321,False
MSFT,V,0.6107418772071999,-3.0464404487359076,0.09957487763430795,False
AMD,MCD,0.19560719920104802,-2.99119023493273,0.11231444515967237,False
AMD,BAC,0.2892292782952918,-2.9470477289741637,0.12333488004855742,False
KO,MS,0.37480933822560414,-2.8439312475206657,0.15210625466914185,False
BAC,KO,0.37979108714572807,-2.8004459436442506,0.16554283105420137,False
CVX,PEP,0.3208976521714817,-2.7635573549290102,0.1775557008179257,False
MCD,V,0.5185822240092217,-2.6930835370921566,0.2020760891101997,False
GOOGL,JPM,0.4050866541433497,-2.6899251329478435,0.20322308877741846,False
AAPL,MA,0.5757574968489073,-2.6872878868974523,0.20418396858740367,False
AMD,JPM,0.2778314823938174,-2.665336447358102,0.21229264468280462,False
JPM,NVDA,0.3422944151316413,-2.636724279534825,0.22315650284830124,False
CVX,MSFT,0.34387730065965777,-2.6279838424289323,0.22654115615618053,False
PEP,SBUX,0.4139004991643572,-2.6010502282468733,0.23640699633806656,False
AAPL,V,0.558915190028354,-2.589290875478814,0.241168779747856,False
MA,MCD,0.5071081589762317,-2.573797710175449,0.24752624025682513,False
BAC,MSFT,0.42860548845337715,-2.546725911716498,0.25885928553727483,False
AMD,GS,0.32834195380731873,-2.516309954679803,0.2719236101457567,False
AAPL,BAC,0.4194030254271226,-2.5160601354585763,0.27203232999714033,False
BAC,V,0.5586511665780892,-2.4727379549597117,0.2912229450543385,False
KO,XOM,0.3735957508983366,-2.4050574732227132,0.3224633904030575,False
INTC,XOM,0.29632834538696035,-2.3857776303687928,0.33162029733505216,False
BAC,MA,0.5547536115490831,-2.3791322867915827,0.3348010514734021,False
BAC,NVDA,0.33268503811929345,-2.358212897270522,0.3448928207183717,False
CVX,XOM,0.8346458484526317,-2.354677064304151,0.34661002309404787,False
BAC,MS,0.8349967642606735,-2.329515305168388,0.3589210658307649,False
KO,NVDA,0.15585620341475556,-2.2777766734009735,0.3846928633515215,False
AAPL,MS,0.4815770021692834,-2.25971332093502,0.3938181690103241,False
BAC,MCD,0.40407383372861994,-2.222309525381114,0.41289054357818583,False
GS,NVDA,0.4051682858934926,-2.1896319037015095,0.42971639365732306,False
SBUX,XOM,0.32623231633403715,-2.182618018796312,0.43334430806359225,False
AMD,CVX,0.22789009246367492,-2.174218332288871,0.4376956584753576,False
AAPL,CVX,0.33845861603952493,-2.1721395165334485,0.4387736162888797,False
MCD,XOM,0.3369053204663008,-2.1622123980935837,0.44392663306980557,False
SBUX,V,0.5241247044015825,-2.158988101648312,0.44560211990675214,False
CVX,V,0.46196378589429477,-2.147476067126418,0.4515908062607815,False
CVX,MA,0.4678168301193424,-2.135129903554846,0.45802342426778136,False
JPM,MS,0.8245797502689101,-2.0821051014836947,0.48572391386030694,False
INTC,MS,0.4318983634912173,-2.0775330401375904,0.48811488931013325,False
INTC,JPM,0.4011330008089668,-2.067215845409321,0.4935100177732287,False
INTC,NVDA,0.4469173152845719,-2.0648664501246614,0.4947384366489777,False
INTC,KO,0.2611126164928365,-2.061797208940625,0.4963431161018896,False
INTC,MSFT,0.49040513531405094,-2.040992054562822,0.5072147702744303,False
AMD,XOM,0.18573239278331344,-2.0248547136725734,0.5156363247803479,False
INTC,MCD,0.2588945096835004,-2.017115180011097,0.5196705755958864,False
INTC,PEP,0.30868408767703037,-2.011920222279679,0.5223764074526496,False
INTC,V,0.4031961966501618,-2.007593987749437,0.52462838366053,False
INTC,MA,0.41699518563268395,-2.006039715038432,0.5254371224796734,False
INTC,SBUX,0.31989558350445196,-1.9853635359735082,0.5361774524567178,False
CVX,NVDA,0.25190828794795933,-1.9797959033706607,0.5390631519720162,False
PEP,XOM,0.3072079221129236,-1.9750869657378347,0.5415014193303125,False
AAPL,XOM,0.3085045232634239,-1.973319002221917,0.5424162799254605,False
AAPL,JPM,0.42388074318667346,-1.9488143299898801,0.555060647869632,False
AMD,NVDA,0.580177781801576,-1.943996770821053,0.5575379162905904,False
MCD,NVDA,0.24066657455362084,-1.9246589076504619,0.5674498344657082,False
MCD,SBUX,0.5019624610377564,-1.9226351245793816,0.568484025996544,False
BAC,JPM,0.8846090257539789,-1.9150196357140765,0.572370046493369,False
MCD,MS,0.42236520722187615,-1.8749262997188074,0.5926676514633897,False
GOOGL,KO,0.29120062873821567,-1.863505127552962,0.5983950446839,False
JPM,KO,0.42254488106031035,-1.8415333735470676,0.6093373850494308,False
CVX,MS,0.5574804763104794,-1.8084593233902166,0.6256040746559248,False
MS,NVDA,0.42589523869558793,-1.7778835531745707,0.6404013193192772,False
MA,NVDA,0.4652912717002164,-1.754604992949986,0.6514984869366024,False
BAC,GS,0.8183071665486379,-1.7460375796820742,0.6555439885045131,False
MSFT,XOM,0.2748944879089649,-1.7412627390970583,0.6577893546139029,False
GOOGL,NVDA,0.5222633585867973,-1.730303909843496,0.662917119239268,False
AMD,SBUX,0.28901413761433337,-1.7278801313211591,0.6640463509073201,False
CVX,SBUX,0.3688896734515104,-1.6690194669696015,0.6908998625047262,False
CVX,JPM,0.5832266458629284,-1.667667480155651,0.6915033254811298,False
CVX,GOOGL,0.30862522889126776,-1.6431482536070532,0.7023387696976724,False
KO,SBUX,0.38967072033201233,-1.6201787137273584,0.7122980095613771,False
V,XOM,0.42379604811340077,-1.5871548487114744,0.7262811247648593,False
AAPL,NVDA,0.5275519611640688,-1.5798247339922205,0.7293299344351822,False
GS,MS,0.86968151260372,-1.5724161955491838,0.7323907581786753,False
MA,XOM,0.43778003544898925,-1.5630684711465244,0.7362229790233081,False
MSFT,SBUX,0.46427690211943595,-1.4426973858587981,0.7825035466620684,False
PEP,V,0.44327821128274264,-1.441753429760554,0.7828434537385409,False
AAPL,GS,0.4741102861023939,-1.4097931740318348,0.7941367011569588,False
CVX,GS,0.5423810039144022,-1.3936519568089842,0.7996808966074488,False
AMD,PEP,0.16639847905124916,-1.3860957616817398,0.8022394791943448,False
MA,MS,0.5941381490966114,-1.3527220878815134,0.8132590202910921,False
BAC,XOM,0.5435694781046245,-1.3084798278796121,0.827162212715228,False
MA,SBUX,0.5335850039193596,-1.253004820551872,0.843469438180784,False
MCD,PEP,0.5113177522998669,-1.2508317028926352,0.8440830102768764,False
JPM,MSFT,0.4436713737137815,-1.2396562294734923,0.8472085986437449,False
AAPL,SBUX,0.45396108308255423,-1.202887791462265,0.8571431622541972,False
BAC,SBUX,0.45963315168033847,-1.197588011825376,0.8585314004678459,False
GS,JPM,0.8267416944663739,-1.1889083500141069,0.8607814064610921,False
NVDA,XOM,0.19882920168375315,-1.1727928373241299,0.8648818544337993,False
CVX,INTC,0.3254051345808519,-1.1358860963750563,0.8738998056779782,False
MSFT,PEP,0.4041606109829875,-1.1342584566530416,0.8742857194004204,False
BAC,PEP,0.32454783734493364,-1.1268250739998578,0.8760356585656223,False
BAC,CVX,0.5686593418102107,-1.1256105384430037,0.8763196332141032,False
MS,MSFT,0.49967862427676224,-1.12437786651613,0.8766072907054325,False
MA,PEP,0.43402740949699836,-1.0469042628516623,0.8935841630264912,False
JPM,V,0.581860848587706,-1.0236185323803124,0.8982754105750703,False
NVDA,V,0.44777651640373584,-0.9942980283337185,0.9039233245972222,False
AAPL,PEP,0.3974958636095206,-0.9622090745149146,0.90978335271222,False
GOOGL,MSFT,0.6842881658407417,-0.946867727669549,0.9124697521619395,False
MSFT,NVDA,0.6040651049498363,-0.8749160823351789,0.9241210575824976,False
MS,V,0.5885759551021134,-0.8560798898943215,0.926924509198239,False
KO,PEP,0.7225199626407282,-0.8216223611057075,0.9318024796390783,False
JPM,XOM,0.5412508004699395,-0.7686913211528738,0.9386956797932627,False
MS,XOM,0.5147758477075975,-0.7565456408815802,0.94017979882939,False
GS,KO,0.3562290917018657,-0.7277101184552657,0.9435642059329007,False
AAPL,GOOGL,0.5898381746576956,-0.7065944388093816,0.9459223648434384,False
JPM,MCD,0.43874301883739936,-0.5756430554774197,0.9584893990382715,False
JPM,MA,0.5805413501053542,-0.5718134960992303,0.9588081293118963,False
GOOGL,V,0.534245408244197,-0.3853331670014579,0.9715631122505771,False
GOOGL,XOM,0.27092932040303747,-0.3768586246599492,0.972029290293651,False
GOOGL,MCD,0.33869035736253683,-0.3604359480980771,0.9729083310766498,False
AMD,INTC,0.36569763527600346,-0.16076279634968588,0.9813800594040949,False
BAC,INTC,0.3844620547665821,-0.11778733297523043,0.9827558501424308,False
GS,XOM,0.5066087936789669,0.019429190001754536,0.9863415444656071,False
GOOGL,MA,0.5402064970864155,0.1209879764018442,0.9883483145847761,False
GS,V,0.5678270881369694,0.21746218610760232,0.9898550584431259,False
GOOGL,SBUX,0.41870743169496333,0.4875794938485078,0.992566729492468,False
AAPL,INTC,0.4492466977982014,0.5070780505689663,0.9926959674225182,False
GS,MCD,0.402639496776134,0.5107634836219545,0.9927195576879756,False
NVDA,SBUX,0.3485501884087478,0.5468126033208548,0.9929367130087713,False
GS,MA,0.5682630618148787,0.6023510751865037,0.9932252762175108,False
GS,MSFT,0.4813053893083868,0.7514030432390771,0.9937514558508332,False
JPM,PEP,0.35283026769582004,0.7649112305533037,0.993782609579919,False
MS,PEP,0.348332873767396,0.7932185317317493,0.9938394211390539,False
MS,SBUX,0.48529508666203414,0.8561758816136154,0.9939252935012131,False
JPM,SBUX,0.4735551099371736,0.9079357050028029,0.9939545271723687,False
GS,SBUX,0.47789149791153984,2.062596292699579,1.0,False
GS,PEP,0.32636604635411287,2.0179352951063088,1.0,False
GOOGL,INTC,0.4119369898841329,2.0524737852623685,1.0,False
GS,INTC,0.42719888657849125,2.0502202065089095,1.0,False
GOOGL,PEP,0.30433612024759205,1.932406817304738,1.0,False
NVDA,PEP,0.1983333359461573,0.9543390375768439,1.0,False
